Species,Genus,Sub-family,Family,Order
squamipes,Anourosorex,Soricinae,Soricidae,Eulipotyphla
yamashinai,Anourosorex,Soricinae,Soricidae,Eulipotyphla
albiventris,Atelerix,Erinaceinae,Erinaceidae,Eulipotyphla
brevicauda,Blarina,Soricinae,Soricidae,Eulipotyphla
quadraticauda,Blarinella,Soricinae,Soricidae,Eulipotyphla
himalayica,Chimarrogale,Soricinae,Soricidae,Eulipotyphla
styani,Chimarrogale,Soricinae,Soricidae,Eulipotyphla
platycephala,Chimarrogale,Soricinae,Soricidae,Eulipotyphla
cristata,Condylura,Talpinae,Talpidae,Eulipotyphla
phillipsorum,Congosorex,Crocidurinae,Soricidae,Eulipotyphla
lasiura,Crocidura,Crocidurinae,Soricidae,Eulipotyphla
olivieri,Crocidura,Crocidurinae,Soricidae,Eulipotyphla
russula,Crocidura,Crocidurinae,Soricidae,Eulipotyphla
suaveolens,Crocidura,Crocidurinae,Soricidae,Eulipotyphla
parvus,Cryptotis,Soricinae,Soricidae,Eulipotyphla
moschata,Desmana,Talpinae,Talpidae,Eulipotyphla
pulchellum,Diplomesodon,Crocidurinae,Soricidae,Eulipotyphla
pilirostris,Dymecodon,Uropsilinae,Talpidae,Eulipotyphla
gymnura,Echinosorex,Galericinae,Erinaceidae,Eulipotyphla
caudatus,Episoriculus,Soricinae,Soricidae,Eulipotyphla
sp,Erinaceus,Erinaceinae,Erinaceidae,Eulipotyphla
subanura,Euroscaptor,Talpinae,Talpidae,Eulipotyphla
pyrenaicus,Galemys,Talpinae,Talpidae,Eulipotyphla
auritus,Hemiechinus,Erinaceinae,Erinaceidae,Eulipotyphla
suillus,Hylomys,Galericinae,Erinaceidae,Eulipotyphla
orientalis,Mesechinus,Erinaceinae,Erinaceidae,Eulipotyphla
dauuricus,Mesechinus,Erinaceinae,Erinaceidae,Eulipotyphla
wogura,Mogera,Talpinae,Talpidae,Eulipotyphla
kihaulei,Myosorex,Crocidurinae,Soricidae,Eulipotyphla
elegans,Nectogale,Nectogalinae,Soricidae,Eulipotyphla
hainanensis,Neohylomys,Galericinae,Erinaceidae,Eulipotyphla
fodiens,Neomys,Nectogalinae,Soricidae,Eulipotyphla
sinensis,Neotetracus,Galericinae,Erinaceidae,Eulipotyphla
paramicrus,Nesophontes,Nesophontinae,Nesophontidae,Eulipotyphla
gibbsii,Neurotrichus,Talpinae,Talpidae,Eulipotyphla
crawfordi,Notiosorex,Soricinae,Soricidae,Eulipotyphla
aethiopicus,Paraechinus,Erinaceinae,Erinaceidae,Eulipotyphla
breweri,Parascalops,Scalopinae,Talpidae,Eulipotyphla
leucura,Parascaptor,Talpinae,Talpidae,Eulipotyphla
truei,Podogymnura,Galericinae,Erinaceidae,Eulipotyphla
aquaticus,Scalopus,Scalopinae,Talpidae,Eulipotyphla
